method	target	cv_fold	train_size	test_size	class_size(normal_anzhen)	class_size(VSD)	class_size(ASD)	accuracy	accuracy_by_class(normal_anzhen)	accuracy_by_class(VSD)	accuracy_by_class(ASD)
vgg16_mask_unet_vgg16	normal_anzhen,VSD,ASD	0	3654	452	46	359	47	0.619469026549	0.951327433628	0.639380530973	0.648230088496
vgg16_mask_unet_vgg16	normal_anzhen,VSD,ASD	1	3654	452	43	357	52	0.561946902655	0.951327433628	0.603982300885	0.568584070796
vgg16_mask_unet_vgg16	normal_anzhen,VSD,ASD	2	3654	451	47	363	41	0.691796008869	0.840354767184	0.733924611973	0.809312638581
vgg16_mask_unet_vgg16	normal_anzhen,VSD,ASD	3	3654	451	43	372	36	0.547671840355	0.809312638581	0.580931263858	0.705099778271
vgg16_mask_unet_vgg16	normal_anzhen,VSD,ASD	4	3654	451	54	357	40	0.625277161863	0.849223946785	0.665188470067	0.736141906874
vgg16_mask_unet_vgg16	normal_anzhen,VSD,ASD	5	3654	451	47	346	58	0.616407982262	0.922394678492	0.691796008869	0.618625277162
vgg16_mask_unet_vgg16	normal_anzhen,VSD,ASD	6	3654	451	53	361	37	0.558758314856	0.771618625277	0.609756097561	0.736141906874
vgg16_mask_unet_vgg16	normal_anzhen,VSD,ASD	7	3654	451	56	343	52	0.678492239468	0.886917960089	0.718403547672	0.751662971175
vgg16_mask_unet_vgg16	normal_anzhen,VSD,ASD	8	3654	451	58	343	50	0.554323725055	0.931263858093	0.605321507761	0.572062084257
vgg16_mask_unet_vgg16	normal_anzhen,VSD,ASD	9	3654	451	53	349	49	0.467849223947	0.869179600887	0.505543237251	0.560975609756
