method	target	cv_fold	train_size	test_size	class_size(normal_indiana)	class_size(VSD)	class_size(ASD)	accuracy	accuracy_by_class(normal_indiana)	accuracy_by_class(VSD)	accuracy_by_class(ASD)
vgg16_mask_unet_vgg16	normal_indiana,VSD,ASD	0	3107	384	125	174	85	0.854166666667	0.96875	0.869791666667	0.869791666667
vgg16_mask_unet_vgg16	normal_indiana,VSD,ASD	1	3107	384	121	176	87	0.755208333333	0.888020833333	0.794270833333	0.828125
vgg16_mask_unet_vgg16	normal_indiana,VSD,ASD	2	3107	384	110	208	66	0.848958333333	0.971354166667	0.859375	0.8671875
vgg16_mask_unet_vgg16	normal_indiana,VSD,ASD	3	3107	384	129	180	75	0.817708333333	0.9140625	0.841145833333	0.880208333333
vgg16_mask_unet_vgg16	normal_indiana,VSD,ASD	4	3107	384	111	195	78	0.815104166667	0.934895833333	0.830729166667	0.864583333333
vgg16_mask_unet_vgg16	normal_indiana,VSD,ASD	5	3107	384	110	201	73	0.861979166667	0.9765625	0.864583333333	0.8828125
vgg16_mask_unet_vgg16	normal_indiana,VSD,ASD	6	3107	384	126	185	73	0.8359375	0.9453125	0.848958333333	0.877604166667
vgg16_mask_unet_vgg16	normal_indiana,VSD,ASD	7	3108	383	103	183	97	0.738903394256	0.872062663185	0.78590078329	0.819843342037
vgg16_mask_unet_vgg16	normal_indiana,VSD,ASD	8	3108	383	114	184	85	0.762402088773	0.900783289817	0.79634464752	0.827676240209
vgg16_mask_unet_vgg16	normal_indiana,VSD,ASD	9	3108	383	103	193	87	0.634464751958	0.783289817232	0.694516971279	0.791122715405
