method	target	cv_fold	train_size	test_size	class_size(normal_anzhen)	class_size(VSD)	class_size(ASD)	accuracy	accuracy_by_class(normal_anzhen)	accuracy_by_class(VSD)	accuracy_by_class(ASD)
vgg16	"normal_anzhen,VSD,ASD"	0	3654	452	46	359	47	0.796 	0.920 	0.816 	0.856 
vgg16	"normal_anzhen,VSD,ASD"	1	3654	452	43	357	52	0.569 	0.954 	0.577 	0.606 
vgg16	"normal_anzhen,VSD,ASD"	2	3654	451	47	363	41	0.552 	0.933 	0.572 	0.599 
vgg16	"normal_anzhen,VSD,ASD"	3	3654	451	43	372	36	0.831 	0.936 	0.831 	0.896 
vgg16	"normal_anzhen,VSD,ASD"	4	3654	451	54	357	40	0.732 	0.938 	0.736 	0.789 
vgg16	"normal_anzhen,VSD,ASD"	5	3654	451	47	346	58	0.825 	0.969 	0.829 	0.851 
vgg16	"normal_anzhen,VSD,ASD"	6	3654	451	53	361	37	0.741 	0.971 	0.747 	0.763 
vgg16	"normal_anzhen,VSD,ASD"	7	3654	451	56	343	52	0.603 	0.947 	0.623 	0.636 
vgg16	"normal_anzhen,VSD,ASD"	8	3654	451	58	343	50	0.683 	0.911 	0.710 	0.745 
vgg16	"normal_anzhen,VSD,ASD"	9	3654	451	53	349	49	0.632 	0.971 	0.650 	0.643 
								0.696 	0.945 	0.709 	0.738 
								0.010905912	0.000448034	0.010017944	0.012352246
