method	target	cv_fold	train_size	test_size	class_size(normal_anzhen)	class_size(VSD)	accuracy	roc_auc
vgg16	"normal_anzhen,VSD"	0	1926	238	48	190	0.945 	0.985 
vgg16	"normal_anzhen,VSD"	1	1926	238	58	180	0.933 	0.981 
vgg16	"normal_anzhen,VSD"	2	1926	238	42	196	0.937 	0.990 
vgg16	"normal_anzhen,VSD"	3	1926	238	49	189	0.950 	0.989 
vgg16	"normal_anzhen,VSD"	4	1926	238	44	194	0.908 	0.990 
vgg16	"normal_anzhen,VSD"	5	1926	238	60	178	0.937 	0.986 
vgg16	"normal_anzhen,VSD"	6	1926	238	52	186	0.962 	0.994 
vgg16	"normal_anzhen,VSD"	7	1926	238	49	189	0.941 	0.991 
vgg16	"normal_anzhen,VSD"	8	1926	238	46	192	0.945 	0.981 
vgg16	"normal_anzhen,VSD"	9	1927	237	52	185	0.941 	0.992 
							0.00019629	1.94358E-05
							0.940 	0.988 
