method	target	cv_fold	train_size	test_size	class_size(normal_indiana)	class_size(VSD)	class_size(ASD)	accuracy	accuracy_by_class(normal_indiana)	accuracy_by_class(VSD)	accuracy_by_class(ASD)
vgg16	"normal_indiana,VSD,ASD"	0	3107	384	125	174	85	0.867 	0.956 	0.896 	0.883 
vgg16	"normal_indiana,VSD,ASD"	1	3107	384	121	176	87	0.865 	0.977 	0.872 	0.880 
vgg16	"normal_indiana,VSD,ASD"	2	3107	384	110	208	66	0.833 	0.982 	0.849 	0.836 
vgg16	"normal_indiana,VSD,ASD"	3	3107	384	129	180	75	0.909 	0.984 	0.911 	0.922 
vgg16	"normal_indiana,VSD,ASD"	4	3107	384	111	195	78	0.867 	0.990 	0.875 	0.870 
vgg16	"normal_indiana,VSD,ASD"	5	3107	384	110	201	73	0.844 	0.969 	0.862 	0.857 
vgg16	"normal_indiana,VSD,ASD"	6	3107	384	126	185	73	0.878 	0.992 	0.880 	0.883 
vgg16	"normal_indiana,VSD,ASD"	7	3108	383	103	183	97	0.817 	0.990 	0.828 	0.817 
vgg16	"normal_indiana,VSD,ASD"	8	3108	383	114	184	85	0.843 	0.974 	0.851 	0.862 
vgg16	"normal_indiana,VSD,ASD"	9	3108	383	103	193	87	0.799 	0.982 	0.804 	0.812 
								0.001002353	0.000124253	0.001000045	0.001117035
								0.852 	0.979 	0.863 	0.862 
